,art,sub or obj
161,ultimately,1
162,in the history of the academy,1
163,"people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a",1
164,es divertida,1
165,visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderÃ¡ .,1
166,not since japanese filmmaker akira kurosawa's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,1
167,the video work is so grainy and rough,1
168,so dependent on being 'naturalistic' rather than carefully lit and set up,1
169,that it's exhausting to watch .,1
170,the screenplay comes across,1
171,rather unintentionally,1
172,as hip-hop scooby-doo .,1
173,the next big thing's not-so-big ( and not-so-hot ) directorial debut .,1
174,the cumulative effect of the movie is repulsive and depressing .,1
175,judging from the strength of this superbly enigmatic film,1
176,oliveira himself seems far from ready to go home .,1
177,passionate,1
178,irrational,1
179,long-suffering but cruel as a tarantula,1
180,helga figures prominently in this movie,1
181,and helps keep the proceedings as funny for grown-ups as for rugrats .,1
182,christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists,1
183,who might even praise god for delivering such an instant camp classic .,1
184,aloof and lacks any real raw emotion,1
185,which is fatal for a film that relies on personal relationships .,1
186,if festival in cannes nails hard- boiled hollywood argot with a bracingly nasty accuracy,1
187,much about the film,1
188,including some of its casting,1
189,is frustratingly unconvincing .,1
190,the movie is pretty funny now and then without in any way demeaning its subjects .,1
191,it's a frightful vanity film that,1
192,no doubt,1
193,pays off what debt miramax felt they owed to benigni .,1
194,when your subject is illusion versus reality,1
195,shouldn't the reality seem at least passably real ?,1
196,confusion is one of my least favourite emotions,1
197,especially when i have to put up with 146 minutes of it .,1
198,sitting in the third row of the imax cinema at sydney's darling harbour,1
199,but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia,1
200,sweeping and gliding,1
201,banking and hovering over some of the most not,1
202,may be far from the best of the series,1
203,but it's assured,1
204,wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .,1
205,the result reverberates on the screen with a deadly force and fury more intense than anything mr . scorsese has yet achieved on the meanest and most beloved streets he could imagine or recall .,1
206,it has charm to spare,1
207,and unlike many romantic comedies,1
208,it does not alienate either gender in the audience .,1
209,the leaping story line,1
210,shaped by director peter kosminsky into sharp slivers and cutting impressions,1
211,shows all the signs of rich detail condensed into a few evocative images and striking character traits .,1
212,it's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience .,1
213,for a rapsploitation film to target and frown upon the darker forces of its nature is certainly a good sign for the maturation of the genre .,1
214,a movie that doesn't aim too high,1
215,but doesn't need to .,1
216,the kind of movie that seduces you into becoming putty in its manipulative card-sharking hands and making you enjoy being taken in by its shameless contrivance .,1
217,an erotic thriller that's neither too erotic nor very thrilling,1
218,either .,1
219,"the best part about "" gangs "" was daniel day-lewis .",1
220,the work of an artist tormented by his heritage,1
221,using his storytelling ability to honor the many faceless victims .,1
222,rarely has skin looked as beautiful,1
223,desirable,1
224,even delectable,1
225,as it does in trouble every day .,1
226,the disjointed mess flows as naturally as jolie's hideous yellow 'do .,1
227,the plan to make enough into Â‘an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller' has flopped as surely as a soufflÃ© gone wrong .,1
228,the movie is our story as much as it is schmidt's,1
229,no matter if it's viewed as a self-reflection or cautionary tale .,1
230,raunchy though [cho's] material is,1
231,it embraces all comers,1
232,regardless of gender,1
233,sexuality,1
234,race or ethnicity . and it's never been sharper -- or funnier -- than it is here .,1
235,fans of behan's work and of irish movies in general will be rewarded by borstal boy .,1
236,miller is playing so free with emotions,1
237,and the fact that children are hostages to fortune,1
238,that he makes the audience hostage to his swaggering affectation of seriousness .,1
239,this is an exercise not in biography but in hero worship .,1
240, . . . has its moments,1
241,but ultimately,1
242,its curmudgeon doesn't quite make the cut of being placed on any list of favorites .,1
243,human nature talks the talk,1
244,but it fails to walk the silly walk that distinguishes the merely quirky from the surreal .,1
245,anchored by friel and williams's exceptional performances,1
246,the film's power lies in its complexity . nothing is black and white .,1
247,the writers,1
248,director wally wolodarsky,1
249,and all the actors should start their own coeducational fraternity : kappa rho alpha phi .,1
250,like its title character,1
251,this nicholas nickleby finds itself in reduced circumstances -- and,1
252,also like its hero,1
253,it remains brightly optimistic,1
254,coming through in the end .,1
255,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,1
256,what one is left with,1
257,even after the most awful acts are committed,1
258,is an overwhelming sadness that feels as if it has made its way into your very bloodstream .,1
259,a competent,1
260,unpretentious entertainment destined to fill the after-school slot at shopping mall theaters across the country .,1
261,louiso lets the movie dawdle in classic disaffected-indie-film mode,1
262,and brother hoffman's script stumbles over a late-inning twist that just doesn't make sense .,1
263,an unsatisfying hybrid of blair witch and typical stalk-and-slash fare,1
264,where the most conservative protagonist is always the last one living .,1
265,we have poignancy jostling against farce,1
266,thoughtful dialogue elbowed aside by one-liners,1
267,and a visual style that incorporates rotoscope animation for no apparent reason except,1
268,maybe,1
269,that it looks neat .,1
270,as it turns out,1
271,you can go home again .,1
272,using his audience as a figurative port-of-call,1
273,dong pulls his even-handed ideological ship to their dock for unloading,1
274,before he continues his longer journey still ahead .,1
275,in the era of the sopranos,1
276,it feels painfully redundant and inauthentic .,1
277,instead of trying to bust some blondes,1
278,[diggs] should be probing why a guy with his talent ended up in a movie this bad .,1
279,the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,1
280,even if the world doesn't see things the way [michael moore] does,1
281,his questions are worth asking . Â… and bowling for columbine benefits from his iconoclastic zeal .,1
282,the only thing i laughed at were the people who paid to see it .,1
283,scott delivers a terrific performance in this fascinating portrait of a modern lothario .,1
284,about amy's cuteness,1
285,amy's career success ( she's a best-selling writer of self-help books who can't help herself ),1
286,and amy's neuroses when it comes to men .,1
287,automatically pegs itself for the straight-to-video sci-fi rental shelf .,1
288,part of the film's cheeky charm comes from its vintage schmaltz .,1
289,a very funny look at how another culture handles the process of courting and marriage .,1
290,one of the best cat-and-mouse movies to come along in a while,1
291,leo has great fun in the role .,1
292,kids who are into this thornberry stuff will probably be in wedgie heaven . anyone else who may,1
293,for whatever reason,1
294,be thinking about going to see this movie is hereby given fair warning .,1
295,who is this movie for ? not kids,1
296,who don't need the lesson in repugnance . it's also not smart or barbed enough for older viewers -- not everyone thinks poo-poo jokes are 'edgy . ',1
297,open-ended and composed of layer upon layer,1
298,talk to her is a cinephile's feast,1
299,an invitation to countless interpretations .,1
300,with spy kids 2 : the island of lost dreams,1
301,the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .,1
302,oedekerk mugs mercilessly,1
303,and the genuinely funny jokes are few and far between .,1
304,resurrection has the dubious distinction of being a really bad imitation of the really bad blair witch project .,1
305,the acting is amateurish,1
306,the cinematography is atrocious,1
307,the direction is clumsy,1
308,the writing is insipid and the violence is at once luridly graphic and laughably unconvincing .,1
309,a moving and weighty depiction of one family's attempts to heal after the death of a child .,1
310,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left .,1
311,depending upon your reaction to this movie,1
312,you may never again be able to look at a red felt sharpie pen without disgust,1
313,a thrill,1
314,or the giggles .,1
315,la cinta comienza intentando ser un drama,1
316,rÃ¡pidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible,1
317,watching the chemistry between freeman and judd,1
318,however,1
319,almost makes this movie worth seeing . almost .,1
320,a thoroughly unoriginal,1
321,but fast-paced and entertaining genre b-flick,1
322,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,1
323, . . . devastatingly direct to the heart of the matter,1
324,demonstrating that there is no easy walk toward peace in a region with such strong conflicting traditions,1
325,a modest and messy metaphysical thriller offering more questions than answers .,1
326,a heartfelt,1
327,understated and occasionally heavy-handed slice of heartland .,1
328,mostly,1
329,[goldbacher] just lets her complicated characters be unruly,1
330,confusing and,1
331,through it all,1
332,human .,1
333,let's issue a moratorium,1
334,effective immediately,1
335,on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate .,1
336,how do you make a movie with depth about a man who lacked any ? on the evidence before us,1
337,the answer is clear : not easily and,1
338,in the end,1
339,not well enough .,1
340,treats a potentially explosive set-up with adult reflection and thoughtfulness .,1
341,there's some good material in their story about a retail clerk wanting more out of life,1
342,but the movie too often spins its wheels with familiar situations and repetitive scenes .,1
343,most of the storylines feel like time fillers between surf shots . the movie isn't horrible,1
344,but you can see mediocre cresting on the next wave .,1
345,i can't say this enough : this movie is about an adult male dressed in pink jammies .,1
346,[majidi] makes us think twice about immigrants we see around us every day .,1
347,not the kind of film that will appeal to a mainstream american audience,1
348,but there is a certain charm about the film that makes it a suitable entry into the fest circuit .,1
349,but this is lohman's film . her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks .,1
350,this tenth feature is a big deal,1
351,indeed -- at least the third-best,1
352,and maybe even a notch above the previous runner-up,1
353,nicholas meyer's star trek vi : the undiscovered country .,1
354,the movie,1
355,while beautiful,1
356,feels labored,1
357,with a hint of the writing exercise about it .,1
358,broomfield's style of journalism is hardly journalism at all,1
359,and even those with an avid interest in the subject will grow impatient .,1
360,neither the funniest film that eddie murphy nor robert de niro has ever made,1
361,showtime is nevertheless efficiently amusing for a good while . before it collapses into exactly the kind of buddy cop comedy it set out to lampoon,1
362,anyway .,1
363,it's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . unfortunately,1
364,that's precisely what arthur dong's family fundamentals does .,1
365,any chekhov is better than no chekhov,1
366,but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .,1
367,at best,1
368,cletis tout might inspire a trip to the video store -- in search of a better movie experience .,1
369,niccol the filmmaker merges his collaborators' symbolic images with his words,1
370,insinuating,1
371,for example,1
372,that in hollywood,1
373,only god speaks to the press,1
374,it treats us to beautiful insights and tragic struggles that swell the heart and make us feel genuine empathy for two people embracing the truth amidst a pack of lies .,1
375,completely creatively stillborn and executed in a manner that i'm not sure could be a single iota worse . . . a soulless hunk of exploitative garbage .,1
376,not a stereotype is omitted nor a clichÃ© left unsaid .,1
377,this 72-minute film does have some exciting scenes,1
378,but it's a tad slow .,1
379,the overall result is an intelligent,1
380,realistic portrayal of testing boundaries .,1
381,mr . jacobi's recitation is illustrated with a rush of sensuous nature imagery,1
382,beautifully photographed by mr . cox and hans sonneveld and underscored with a lush soundtrack by paul grabowsky .,1
383,the acting is uniformly excellent,1
384,with kyra sedgwick and fairuza balk in particular deserving to be singled out for praise .,1
385,who needs mind-bending drugs when they can see this,1
386,the final part of the 'qatsi' trilogy,1
387,directed by godfrey reggio,1
388,with music by philip glass ?,1
389,'rare birds' tries to force its quirkiness upon the audience .,1
390,a baffling misfire,1
391,and possibly the weakest movie [woody allen] has made in the last twenty years .,1
392,it all drags on so interminably it's like watching a miserable relationship unfold in real time .,1
393,reminiscent of david mamet's elaborate screen bluffs -- only livelier,1
394,more playful .,1
395,the cast,1
396,collectively a successful example of the lovable-loser protagonist,1
397,shows deft comic timing .,1
398,if you love motown music,1
399,you'll love this documentary .,1
400,provides a very moving and revelatory footnote to the holocaust .,1
401,stephen rea,1
402,aidan quinn,1
403,and alan bates play desmond's legal eagles,1
404,and when joined by brosnan,1
405,the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing,1
406,'tis .,1
407,the verdict : two bodies and hardly a laugh between them .,1
408,minority report is exactly what the title indicates,1
409,a report .,1
410,[reno] delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,1
411,inside the film's conflict-powered plot there is a decent moral trying to get out,1
412,but it's not that,1
413,it's the tension that keeps you in your seat . affleck and jackson are good sparring partners .,1
414,the movie is a desperate miscalculation . it gives poor dana carvey nothing to do that is really funny,1
415,and then expects us to laugh because he acts so goofy all the time .,1
416,the most audacious,1
417,outrageous,1
418,sexually explicit,1
419,psychologically probing,1
420,pure libido film of the year has arrived from portugal .,1
421,one hour photo offers a very interesting snapshot of some decidedly modern pathologies -- suburban alienation and the illusions generated by the advent of the photographic image .,1
422,it showcases carvey's talent for voices,1
423,but not nearly enough and not without taxing every drop of one's patience to get to the good stuff .,1
424,it is best appreciated as an immersion in a three-dimensional toyland outfitted with enough whimsical gadgetry to fill a thousand playrooms .,1
425,children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated,1
426,and undoubtedly delighted .,1
427,the problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .,1
428,nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,1
429,the film's sense of imagery gives it a terrible strength,1
430,but it's propelled by the acting .,1
431,"focuses on joan's raging hormones and sledgehammers the audience with spanish inquisitions about her "" madness "" so much that i became mad that i wasted 123 minutes and $9 . 50 on this 21st century torture device .",1
432,a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody,1
433,and to belong to somebody .,1
434,the title helpfully offers the most succinct review of it you'll read anywhere .,1
435,for all its technical virtuosity,1
436,the film is so mired in juvenile and near-xenophobic pedagogy that it's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking .,1
437,a bit of a downer and a little over-dramatic at times,1
438,but this is a beautiful film for people who like their romances to have that french realism .,1
439,the waterlogged script plumbs uncharted depths of stupidity,1
440,incoherence and sub-sophomoric sexual banter .,1
441,this slight slice of l . a . life is distinguished by two fine,1
442,subtle performances .,1
443,for all the wit and hoopla,1
444,festival in cannes offers rare insight into the structure of relationships .,1
445,'a fresh-faced,1
446,big-hearted and frequently funny thrill ride for the kiddies,1
447,with enough eye candy and cheeky wit to keep parents away from the concession stand . ',1
448,making such a tragedy the backdrop to a love story risks trivializing it,1
449,though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .,1
450,the film isn't especially dynamic,1
451,but it brims with insightful,1
452,poignant memories from survivors .,1
453,there's no denying how nice it is to see veteran actors bob hoskins,1
454,michael caine and helen mirren interacting with each other on screen .,1
455,vaguely interesting,1
456,but it's just too too much .,1
457,between bedroom scenes,1
458,viewers may find themselves wishing they could roll over and take a nap .,1
459,great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .,1
460,a great script brought down by lousy direction . same guy with both hats . big mistake .,1
461,this is,1
462,not to put too fine a point on it,1
463,a swashbuckler,1
464,a costume drama . if you love that old story form,1
465,you will be in old-fogy heaven,1
466,as it is nearly a perfect example of a genre that died out years ago .,1
467,like to think of the film as local hero for kids,1
468,as the boy has to adapt from his urban kid lifestyle to the slow,1
469,simple ways of generations before . will he do it ? will it work out ? can love overcome ?,1
470,bisset still commands the screen as the graceful and outspoken frances .,1
471,for its seriousness,1
472,high literary aspirations and stunning acting,1
473,the film can only be applauded .,1
474,tsai has a well-deserved reputation as one of the cinema world's great visual stylists,1
475,and in this film,1
476,every shot enhances the excellent performances .,1
477,lazy,1
478,miserable and smug . this is one of the biggest disappointments of the year .,1
479,the story that emerges has elements of romance,1
480,tragedy and even silent-movie comedy .,1
481,as underwater ghost stories go,1
482,below casts its spooky net out into the atlantic ocean and spits it back,1
483,grizzled and charred,1
484,somewhere northwest of the bermuda triangle .,1
485,i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible !,1
486,in its understanding,1
487,often funny way,1
488,it tells a story whose restatement is validated by the changing composition of the nation .,1
489,the film would work much better as a video installation in a museum,1
490,where viewers would be free to leave . immediately .,1
491,city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . but how it washed out despite all of that is the project's prime mystery .,1
492,there is simply not enough of interest onscreen to sustain its seventy-minute running time .,1
493,the major problem with windtalkers is that the bulk of the movie centers on the wrong character .,1
494,apparently designed as a reverie about memory and regret,1
495,but the only thing you'll regret is remembering the experience of sitting through it .,1
496,the level of maturity displayed by this 33-year-old first-time feature director is astonishing,1
497,considering her inexperience and her subject matter .,1
498,stage director sam mendes showcases tom hanks as a depression era hit-man in this dark tale of revenge .,1
499,the movie is a little tired ,1
500,maybe the original inspiration has run its course .,1
501,though this film can be clumsy,1
502,its ambitions are equally -- and admirably -- uncommercial .,1
503,being author wells' great-grandson,1
504,you'd think filmmaker simon wells would have more reverence for the material . but this costly dud is a far cry from either the book or the beloved film .,1
505,[i]t's certainly laudable that the movie deals with hot-button issues in a comedic context,1
506,but barbershop isn't as funny as it should be .,1
507,deliriously funny,1
508,fast and loose,1
509,accessible to the uninitiated,1
510,and full of surprises,1
511,unlike his directorial efforts,1
512,la femme nikita and the professional,1
513,the transporter lacks besson's perspective as a storyteller .,1
514,it's hard to know whether or not to recommend this film because for every thing it does right there's at least one and occasionally two things it gets ever so wrong .,1
515,the actors are all charged up by their roles,1
516,and it rubs off on us : you walk out with a caffeine- and-doughnut high .,1
517,naipaul fans may be disappointed . those who are not acquainted with the author's work,1
518,on the other hand,1
519,may fall fast asleep .,1
520,it may . . . work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,1
521,it's mildly amusing,1
522,but i certainly can't recommend it .,1
523,the country bears has no scenes that will upset or frighten young viewers . unfortunately,1
524,there is almost nothing in this flat effort that will amuse or entertain them,1
525,either .,1
526,much as we might be interested in gratuitous sexualization,1
527,haneke has a different objective in mind--namely the implications of our craving for fake stimulation .,1
528,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,1
529,juliette binoche's sand is vivacious,1
530,but it's hard to sense that powerhouse of 19th-century prose behind her childlike smile .,1
531,the noble tradition of men in drag hits an all-time low in sorority boys,1
532,whose makers apparently believe that women's clothing can cover up any deficiency in acting,1
533,writing or direction .,1
534,the film falls short on tension,1
535,eloquence,1
536,spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .,1
537,just like the deli sandwich : lots of ham,1
538,lots of cheese,1
539,with a sickly sweet coating to disguise its excrescence until just after ( or during ) consumption of its second half .,1
540,while this one gets off with a good natured warning,1
541,future lizard endeavors will need to adhere more closely to the laws of laughter,1
542,seldom has a movie so closely matched the spirit of a man and his work .,1
543,it's deep-sixed by a compulsion to catalog every bodily fluids gag in there's something about mary and devise a parallel clone-gag .,1
544,aside from being the funniest movie of the year,1
545,simone,1
546,andrew niccol's brilliant anti-hollywood satire,1
547,has a wickedly eccentric enchantment to it .,1
548,a morose little soap opera about three vapid,1
549,"insensitive people who take turns hurting each other . it's a feature-length adaptation of one of those "" can this marriage be saved ? "" columns from ladies home journal . . .",1
550,the spark of special anime magic here is unmistakable and hard to resist .,1
551,a love for films shines through each frame and the era is recreated with obvious affection,1
552,scored to perfection with some tasty boogaloo beats .,1
553,speaking in terms of spectacle,1
554,craft,1
555,romance and humor,1
556,it's the movie to beat this summer .,1
557,imamura has said that warm water under a red bridge is a poem to the enduring strengths of women . it may also be the best sex comedy about environmental pollution ever made .,1
558,huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her,1
559,trying to understand her and wondering if she'll crack .,1
560,too timid to bring a sense of closure to an ugly chapter of the twentieth century .,1
561,there is no substitute for on-screen chemistry,1
562,and when friel pulls the strings that make williams sink into melancholia,1
563,the reaction in williams is as visceral as a gut punch .,1
564,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,1
565,light the candles,1
566,bring out the cake and don't fret about the calories because there's precious little substance in birthday girl -- it's simply,1
567,and surprisingly,1
568,a nice,1
569,light treat .,1
570,"it's like a "" big chill "" reunion of the baader-meinhof gang",1
571,only these guys are more harmless pranksters than political activists .,1
